code,call_count,cycles,running_time(us)
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_faster_gelu_custom.cpp:39,338,25526,0.510000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/faster_gelu_custom.cpp:31,207,13281,0.900000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:37,127,8122,0.850000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:52,55,6717,0.820000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:23,38,5089,0.160000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/faster_gelu_custom.cpp:27,38,5089,0.160000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/faster_gelu_custom.cpp:32,54,3665,0.020000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:21,54,3665,0.020000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:38,39,3217,0.040000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/faster_gelu_custom.cpp:30,37,3128,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:36,40,1941,0.020000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:60,18,1904,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:32,12,1187,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:46,12,980,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:31,13,933,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:51,22,925,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:45,6,853,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:62,11,692,0.030000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_faster_gelu_custom.cpp:31,3,650,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:28,6,645,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:61,8,619,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_faster_gelu_custom.cpp:22,19,412,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/faster_gelu_custom.cpp:19,1,362,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/faster_gelu_custom.cpp:29,1,362,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_faster_gelu_custom.cpp:40,17,311,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:26,1,287,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:56,15,185,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:55,15,176,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:50,19,118,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:44,22,108,0.010000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:29,3,74,0.000000
/root/TriForm/measurements/ascendc/fastergelu/kernel_launch_method_by_direct/../kernel_impl/faster_gelu_custom.h:0,5,5,0.000000
