phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,GPU0,npu,COMMAWARE,0.0,7.812939453124999e-05,7.812939453124999e-05,0,-1,0,-1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,7.812939453124999e-05,7.812939453124999e-05,1.3822318111761778e-05,-6.430707641948822e-05,0.1769157203212827,0
prefill,L0_Q_s0,Q,PIM0,pim,COMMAWARE,0.0005485440085937,0.0058845951033854,0.0053360510947916,1,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0053360510947916,0.0053360510947916,0.00450662133586481,-0.0008294297589267908,0.844561128783722,0
prefill,L0_Q_s1,Q,PIM1,pim,COMMAWARE,0.0005485440085937,0.0058845951033854,0.0053360510947916,2,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0053360510947916,0.0053360510947916,0.004506487293454085,-0.0008295638013375156,0.8445360086324446,0
prefill,L0_K_s0,K,GPU0,npu,COMMAWARE,7.812939453124999e-05,0.0008915872664035,0.0008134578718723,3,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00014391348535330566,-0.0006695443865189943,0.17691572032128272,0
prefill,L0_K_s1,K,GPU0,npu,COMMAWARE,0.0008915872664035,0.0017050451382759,0.0008134578718723,4,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00014391348535330566,-0.0006695443865189943,0.17691572032128272,0
prefill,L0_V_s0,V,GPU0,npu,COMMAWARE,0.0017050451382759,0.0025185030101482,0.0008134578718723,5,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00014391348535330566,-0.0006695443865189943,0.17691572032128272,0
prefill,L0_V_s1,V,GPU0,npu,COMMAWARE,0.0025185030101482,0.0033319608820206,0.0008134578718723,6,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00014391348535330566,-0.0006695443865189943,0.17691572032128272,0
prefill,L0_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.0058845951033854,0.0058884351033854,3.839999999999746e-06,7,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,3.839999999999746e-06,3.839999999999746e-06,3.839999999999746e-06,0.0,1.0,0
prefill,L0_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.0058845951033854,0.0058884351033854,3.839999999999746e-06,8,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,3.839999999999746e-06,3.839999999999746e-06,3.839999999999746e-06,0.0,1.0,0
prefill,L0_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.0058884351033854,0.0058922751033854,3.839999999999746e-06,9,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,3.839999999999746e-06,3.839999999999746e-06,3.839999999999746e-06,0.0,1.0,0
prefill,L0_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.0058884351033854,0.0058922751033854,3.839999999999746e-06,10,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,3.839999999999746e-06,3.839999999999746e-06,3.839999999999746e-06,0.0,1.0,0
prefill,L0_QK_s0,QK,GPU0,npu,COMMAWARE,0.0061210924104166,0.0061432489235895,2.215651317287893e-05,11,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,3.919835487787865e-06,-1.8236677685091064e-05,0.17691572032128272,0
prefill,L0_QK_s1,QK,GPU0,npu,COMMAWARE,0.0061432489235895,0.0061654054367624,2.215651317287893e-05,12,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,3.919835487787865e-06,-1.8236677685091064e-05,0.17691572032128272,0
prefill,L0_Softmax_s0,Softmax,GPU0,npu,COMMAWARE,0.0061654054367624,0.0061806791269861,1.5273690223693848e-05,13,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,1.5273690223693848e-05,1.5273690223693848e-05,2.702155907888931e-06,-1.2571534315804918e-05,0.17691572032128272,0
prefill,L0_SV_s0,SV,GPU0,npu,COMMAWARE,0.0061806791269861,0.0062028356401589,2.215651317287893e-05,14,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,3.919835487787865e-06,-1.8236677685091064e-05,0.17691572032128272,0
prefill,L0_O_s0,O,PIM0,pim,COMMAWARE,0.0064386929471902,0.0113999600419819,0.0049612670947916,15,-1,0,0,hefthint_prefill-1024xdecode_1024_ops_trace.csv,0.0049612670947916,0.0049612670947916,0.004190093337774731,-0.0007711737570168693,0.844561128783722,0
prefill,L0_Softmax_s1,Softmax,GPU0,npu,COMMAWARE,0.0062028356401589,0.0062181093303826,1.5273690223693848e-05,16,-1,0,1,hefthint_prefill-1024xdecode_1024_ops_trace.csv,1.5273690223693848e-05,1.5273690223693848e-05,2.702155907888931e-06,-1.2571534315804918e-05,0.17691572032128272,0
