phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,GPU0,npu,NAIVE,0.0,7.812939453124999e-05,7.812939453124999e-05,0,-1,0,-1,attacc_prefill-1024xdecode_256_ops_trace.csv,7.812939453124999e-05,7.812939453124999e-05,1.8678197947402264e-05,-5.945119658384773e-05,0.23906748618065135,0
prefill,L0_Q_s0,Q,GPU0,npu,NAIVE,7.812939453124999e-05,0.0008915872664035,0.0008134578718723,1,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00019447132854237315,-0.0006189865433299268,0.23906748618065135,0
prefill,L0_K_s0,K,GPU0,npu,NAIVE,0.0008915872664035,0.0017050451382759,0.0008134578718723,2,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00019447132854237315,-0.0006189865433299268,0.23906748618065135,0
prefill,L0_V_s0,V,GPU0,npu,NAIVE,0.0017050451382759,0.0025185030101482,0.0008134578718723,3,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00019447132854237315,-0.0006189865433299268,0.23906748618065135,0
prefill,L0_Q_s1,Q,GPU0,npu,NAIVE,0.0025185030101482,0.0033319608820206,0.0008134578718723,4,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00019447132854237315,-0.0006189865433299268,0.23906748618065135,0
prefill,L0_K_s1,K,GPU0,npu,NAIVE,0.0033319608820206,0.0041454187538929,0.0008134578718723,5,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00019447132854237315,-0.0006189865433299268,0.23906748618065135,0
prefill,L0_V_s1,V,GPU0,npu,NAIVE,0.0041454187538929,0.0049588766257653,0.0008134578718723,6,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,0.0008134578718723,0.0008134578718723,0.00019447132854237315,-0.0006189865433299268,0.23906748618065135,0
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.0019409024453071,0.0019447424453071,3.839999999999963e-06,7,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,3.839999999999963e-06,3.839999999999963e-06,3.839999999999963e-06,0.0,1.0,0
prefill,L0_QK_s0,QK,GPU0,npu,NAIVE,0.0049588766257653,0.0049810331389381,2.215651317287893e-05,8,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,5.296901906768653e-06,-1.6859611266110275e-05,0.23906748618065135,0
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.0027543603171795,0.0027582003171795,3.84000000000018e-06,9,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,3.84000000000018e-06,3.84000000000018e-06,3.84000000000018e-06,0.0,1.0,0
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.0043812760609242,0.0043851160609242,3.839999999999746e-06,10,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,3.839999999999746e-06,3.839999999999746e-06,3.839999999999746e-06,0.0,1.0,0
prefill,L0_QK_s1,QK,GPU0,npu,NAIVE,0.0049810331389381,0.005003189652111,2.215651317287893e-05,11,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,5.296901906768653e-06,-1.6859611266110275e-05,0.23906748618065135,0
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.0051947339327965,0.0051985739327965,3.839999999999746e-06,12,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,3.839999999999746e-06,3.839999999999746e-06,3.839999999999746e-06,0.0,1.0,0
prefill,L0_Softmax_s0,Softmax,GPU0,npu,NAIVE,0.005003189652111,0.0050184633423347,1.5273690223693848e-05,13,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,1.5273690223693848e-05,1.5273690223693848e-05,3.6514427264804787e-06,-1.1622247497213369e-05,0.23906748618065135,0
prefill,L0_Softmax_s1,Softmax,GPU0,npu,NAIVE,0.0050184633423347,0.0050337370325584,1.5273690223693848e-05,14,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,1.5273690223693848e-05,1.5273690223693848e-05,3.6514427264804787e-06,-1.1622247497213369e-05,0.23906748618065135,0
prefill,L0_SV_s0,SV,GPU0,npu,NAIVE,0.0050337370325584,0.0050558935457313,2.215651317287893e-05,15,-1,0,0,attacc_prefill-1024xdecode_256_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,5.296901906768653e-06,-1.6859611266110275e-05,0.23906748618065135,0
prefill,L0_SV_s1,SV,GPU0,npu,NAIVE,0.0050558935457313,0.0050780500589042,2.215651317287893e-05,16,-1,0,1,attacc_prefill-1024xdecode_256_ops_trace.csv,2.215651317287893e-05,2.215651317287893e-05,5.296901906768653e-06,-1.6859611266110275e-05,0.23906748618065135,0
