phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,GPU0,npu,NAIVE,0.0,7.145367431640624e-05,7.145367431640624e-05,0,-1,0,-1,facil_prefill-128xdecode_262_ops_trace.csv,7.145367431640624e-05,7.145367431640624e-05,4.204252894499341e-06,-6.72494214219069e-05,0.05883886216798814,0
prefill,L0_Q_s0,Q,GPU0,npu,NAIVE,7.145367431640624e-05,0.0007717024961582,0.0007002488218418,1,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_K_s0,K,GPU0,npu,NAIVE,0.0007717024961582,0.0014719513180001,0.0007002488218418,2,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_V_s0,V,GPU0,npu,NAIVE,0.0014719513180001,0.002172200139842,0.0007002488218418,3,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_Q_s1,Q,GPU0,npu,NAIVE,0.002172200139842,0.0028724489616838,0.0007002488218418,4,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_K_s1,K,GPU0,npu,NAIVE,0.0028724489616838,0.0035726977835257,0.0007002488218418,5,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_V_s1,V,GPU0,npu,NAIVE,0.0035726977835257,0.0042729466053676,0.0007002488218418,6,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.001502570981379,0.001503050981379,4.799999999999683e-07,7,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,4.799999999999683e-07,4.799999999999683e-07,4.799999999999683e-07,0.0,1.0,0
prefill,L0_QK_s0,QK,GPU0,npu,NAIVE,0.0042729466053676,0.0042783051645588,5.358559191226756e-06,8,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,5.358559191226756e-06,5.358559191226756e-06,3.1529152567159716e-07,-5.043267665555159e-06,0.05883886216798815,0
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.0022028198032209,0.0022032998032209,4.800000000001851e-07,9,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,4.800000000001851e-07,4.800000000001851e-07,4.800000000001851e-07,0.0,1.0,0
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.0036033174469046,0.0036037974469046,4.800000000001851e-07,10,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,4.800000000001851e-07,4.800000000001851e-07,4.800000000001851e-07,0.0,1.0,0
prefill,L0_QK_s1,QK,GPU0,npu,NAIVE,0.0042783051645588,0.00428366372375,5.358559191226756e-06,11,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,5.358559191226756e-06,5.358559191226756e-06,3.1529152567159716e-07,-5.043267665555159e-06,0.05883886216798815,0
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.0043035662687465,0.0043040462687465,4.799999999997515e-07,12,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,4.799999999997515e-07,4.799999999997515e-07,4.799999999997515e-07,0.0,1.0,0
prefill,L0_Softmax_s0,Softmax,GPU0,npu,NAIVE,0.00428366372375,0.0042839040049743,2.4028122425079346e-07,13,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,2.4028122425079346e-07,2.4028122425079346e-07,1.4137873835247887e-08,-2.2614335041554556e-07,0.05883886216798814,0
prefill,L0_Softmax_s1,Softmax,GPU0,npu,NAIVE,0.0042839040049743,0.0042841442861985,2.4028122425079346e-07,14,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,2.4028122425079346e-07,2.4028122425079346e-07,1.4137873835247887e-08,-2.2614335041554556e-07,0.05883886216798814,0
prefill,L0_SV_s0,SV,GPU0,npu,NAIVE,0.0042841442861985,0.0042895028453898,5.358559191226756e-06,15,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,5.358559191226756e-06,5.358559191226756e-06,3.1529152567159716e-07,-5.043267665555159e-06,0.05883886216798815,0
prefill,L0_SV_s1,SV,GPU0,npu,NAIVE,0.0042895028453898,0.004294861404581,5.358559191226756e-06,16,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,5.358559191226756e-06,5.358559191226756e-06,3.1529152567159716e-07,-5.043267665555159e-06,0.05883886216798815,0
prefill,L0_O_s0,O,GPU0,npu,NAIVE,0.004294861404581,0.0049951102264229,0.0007002488218418,17,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_O_s1,O,GPU0,npu,NAIVE,0.0049951102264229,0.0056953590482647,0.0007002488218418,18,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,0.0007002488218418,0.0007002488218418,4.120184391164576e-05,-0.0006590469779301542,0.05883886216798815,0
prefill,L0_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.0056953590482647,0.0056953590482647,0.0,19,-1,0,-1,facil_prefill-128xdecode_262_ops_trace.csv,0.0,0.0,0.0,0.0,,0
prefill,L0_Add1,Add,GPU0,npu,NAIVE,0.0056953590482647,0.0057104895597393,1.5130511474609544e-05,20,-1,0,-1,facil_prefill-128xdecode_262_ops_trace.csv,1.5130511474609544e-05,1.5130511474609544e-05,8.902620791857139e-07,-1.424024939542383e-05,0.05883886216798814,0
prefill,L0_LN2,LN,GPU0,npu,NAIVE,0.0057104895597393,0.0057819432340557,7.14536743164065e-05,21,-1,0,-1,facil_prefill-128xdecode_262_ops_trace.csv,7.14536743164065e-05,7.14536743164065e-05,4.2042528944993566e-06,-6.724942142190714e-05,0.05883886216798814,0
prefill,L0_FFN_W1_s0,FFN_W1,GPU0,npu,NAIVE,0.0057819432340557,0.0076321548801668,0.001850211646111,22,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,0.001850211646111,0.001850211646111,0.00010886434802713158,-0.0017413472980838684,0.058838862167988136,0
prefill,L0_FFN_W3_s0,FFN_W3,GPU0,npu,NAIVE,0.0076321548801668,0.0094793665262778,0.001847211646111,23,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,0.001847211646111,0.001847211646111,0.00010868783144062762,-0.0017385238146703725,0.05883886216798814,0
prefill,L0_FFN_W1_s1,FFN_W1,GPU0,npu,NAIVE,0.0094793665262778,0.0113295781723889,0.001850211646111,24,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,0.001850211646111,0.001850211646111,0.00010886434802713158,-0.0017413472980838684,0.058838862167988136,0
prefill,L0_FFN_W3_s1,FFN_W3,GPU0,npu,NAIVE,0.0113295781723889,0.0131767898184999,0.001847211646111,25,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,0.001847211646111,0.001847211646111,0.00010868783144062762,-0.0017385238146703725,0.05883886216798814,0
prefill,L0_SwiGLU_s0,SwiGLU,GPU0,npu,NAIVE,0.0131767898184999,0.013192912068294,1.6122249794007018e-05,26,-1,0,0,facil_prefill-128xdecode_262_ops_trace.csv,1.6122249794007018e-05,1.6122249794007018e-05,9.486148334674542e-07,-1.5173634960539563e-05,0.05883886216798814,0
prefill,L0_SwiGLU_s1,SwiGLU,GPU0,npu,NAIVE,0.013192912068294,0.013209034318088,1.6122249794007018e-05,27,-1,0,1,facil_prefill-128xdecode_262_ops_trace.csv,1.6122249794007018e-05,1.6122249794007018e-05,9.486148334674542e-07,-1.5173634960539563e-05,0.05883886216798814,0
